txid,script,n,entropy_source,Open,High,Low,Close,Volume,Timestamp,script_len,pubkey,r_scalar,s_scalar,z_hash
382409f09d2669705911172e63a11b8406f0590e84161c7a582066c0c868d563,304502204555b2c0501a727d7f821d6f3a195a90643a447133bcf0e4cc83eede77a905d1022100a8905103d6ce67f08414c8f57982327a878d502988165e1ca574fbddeb507dc001 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,3,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,4555b2c0501a727d7f821d6f3a195a90643a447133bcf0e4cc83eede77a905d1,a8905103d6ce67f08414c8f57982327a878d502988165e1ca574fbddeb507dc0,65ab586dd07cba4ee8e218af4eebb60ae2d326b6a89225042c8e70e633c2eab7
ca9e3a175ac4b11e8cee22bbdca19999fbefd0fd7cbbed47d121bb2c53ddaa40,3045022100a39f539813485d5fdaa93916d89454f1a9dde51eea0602641631c7ea7be0efd10220712e2a3cc4af80fc9568014a32d21ff4b24f25a0667b8fde22012145feaba1f501 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,7,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,a39f539813485d5fdaa93916d89454f1a9dde51eea0602641631c7ea7be0efd1,712e2a3cc4af80fc9568014a32d21ff4b24f25a0667b8fde22012145feaba1f5,dfb75521f6e2fd668148d30a972dd35d1386f8444721df2bf5124e77246f7455
95eb5ab8b2f2902f8c8a1d407fc89936bfb0aba8d22976a4ec0c790e926915d2,30460221008ddc6cbdf0fca62735932c179d12890dfcfa633b8361425212d94af6658b3ba9022100e3c89ee88a0f061d6de5aec00d4033983c661ce44d974722bace0cb59e63f7a201 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,4,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,8ddc6cbdf0fca62735932c179d12890dfcfa633b8361425212d94af6658b3ba9,e3c89ee88a0f061d6de5aec00d4033983c661ce44d974722bace0cb59e63f7a2,5b3a77f667b23aee31cc17130724167a79f87693a2ebba227b64d44715994684
40006490586222dd6d50a4cf1b6a3d24f69e32dcd549f2e1a2efcd735cefa8c8,3044022040389dabee5ab746ed8725c46ca3eed7ccf59a2832f12acf690ab6a02faa846c02207d8158b1f2414611617f68dc014279787a63bc55544b67a32590ebf225ece7aa01 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,6,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,40389dabee5ab746ed8725c46ca3eed7ccf59a2832f12acf690ab6a02faa846c,7d8158b1f2414611617f68dc014279787a63bc55544b67a32590ebf225ece7aa,d5f148e51cd04c28a02b92a490ea5315a8aea7c7251cdf949e1dd80c3fdec02d
de705c633ec75e42e8457933a63d2a73aa99214c4542db2daf87ee1525fa8dec,3045022100e8ecdcc5c3ac8c0b074c3b8d595637ea06927351076214ce822e95b7117215c30220333ca2aebcf859a897b46b793596b0198b3be69149c4d91f2a986c053076ec6801 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,9,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,e8ecdcc5c3ac8c0b074c3b8d595637ea06927351076214ce822e95b7117215c3,333ca2aebcf859a897b46b793596b0198b3be69149c4d91f2a986c053076ec68,ebf7ba9c9c96ea70f40dc69730c355cf95cdaf3e80e0a28236407b09d79d688f
24a32cbd8b1f901e910cd43876f28a3b8b21add5b2c9f078a01fc79385e77f1e,304402205238e381f3171dd67e0fe8d8d8dc5f70c864d66dc6264deca556ca76204bbe4b022022d2d64a2ae65651b3337ef8876e5c3fcd4b5d7cf89bb5ea156e8794f9ca5b4401 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,2,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,5238e381f3171dd67e0fe8d8d8dc5f70c864d66dc6264deca556ca76204bbe4b,22d2d64a2ae65651b3337ef8876e5c3fcd4b5d7cf89bb5ea156e8794f9ca5b44,a7713203350bd30a4d8e972f35cda79e5e6367780ae858d36b884de47bfc0b52
f27645e034a658eec47cf5f19bf02fafb3183d1aa6d4835bdf05c6776f7efa06,3045022029dcd32245866252c17c35b9281b48f7b27bd007e726d4ccae778c9e5d4720cb022100ed87d1b6c15455c16799e8937762afe1eb99205160478ede840e042cc7610b7c01 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,6,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,29dcd32245866252c17c35b9281b48f7b27bd007e726d4ccae778c9e5d4720cb,ed87d1b6c15455c16799e8937762afe1eb99205160478ede840e042cc7610b7c,9241ad861dd9aee6eb85ccbf67886b66b5ad8dc0b2874c25a2ee843420573597
567ee93d52c6567238e89300ee8247e2f8645258617de74cbefb06524c7aba4e,30440220260e0638933613147062606e7c38908a1c7a621ab75cb4d090b9aa67e5474ea702203b7789ec6b77f07da09be2af1e66c81c4602ed8598fb3a00483f992c0b710da001 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,7,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,260e0638933613147062606e7c38908a1c7a621ab75cb4d090b9aa67e5474ea7,3b7789ec6b77f07da09be2af1e66c81c4602ed8598fb3a00483f992c0b710da0,bcf3c2c22ab0319811f5f5165adcbbf5dae459ea5856a9094f08ff500851860a
669027d9bef559ac7756984af2893ee5e3d2318138accc206e488cbc7ee7c94a,30450221009dcc4c4a768e5e68de989bc5702a094e18f7881e0e9560ca2b8f90cf0f6e2a6b0220285a252a8d3828e38eb2560d6d6cfc396f35c9687e48202bf203caec33d6184701 0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,4,blockchain,,,,,,,25,0319eb6e797b052c37934dee8c4ec07e1ab2321e66d076e4752770dbaaa710ea57,9dcc4c4a768e5e68de989bc5702a094e18f7881e0e9560ca2b8f90cf0f6e2a6b,285a252a8d3828e38eb2560d6d6cfc396f35c9687e48202bf203caec33d61847,3ced54435fc4641e1bbf2366ba40e2152d954f61bdaf086a7d605bd57163f2ba
5c6823d1d9e2ed6192e1e13e762ecceb597ff72c2a7ce8aec0b64ca75cf137e4,304402206d8bf635bf9fe47340f6bd9991296773cf44fdd1ebc8289609b1d48604142e8902206f7abfc2010d5d45cb14522a58f97e8a489a923507053d55df1c811f2fc8b42501 03fc122a0704f6138a3f03084d2bb8c03401e39122befe21d304e8813e87cd94e1,7,blockchain,,,,,,,25,03fc122a0704f6138a3f03084d2bb8c03401e39122befe21d304e8813e87cd94e1,6d8bf635bf9fe47340f6bd9991296773cf44fdd1ebc8289609b1d48604142e89,6f7abfc2010d5d45cb14522a58f97e8a489a923507053d55df1c811f2fc8b425,1cd6a41dee191b29cc5a8ecfd88ab3811bf5185fcd6474a6c48b43f7dac25e3b
